gene_a,gene_b,weight
S100A2,TACSTD2,0.1379280984401703
KRT14,SFN,0.13779740035533905
C1R,CCDC80,0.13764303922653198
DOCK9,PODXL,0.1371231973171234
LAMA4,COL18A1,0.1358146369457245
CLDN4,S100A1,0.13391432166099548
IGFBP6,BGN,0.13373644649982452
ELF3,MAL2,0.13369101285934448
CLDN4,SOX9,0.13292759656906128
GABRP,SLPI,0.13245739042758942
CLDN4,S100A14,0.13196226954460144
KRT8,SFN,0.13184939324855804
SPARCL1,SPRY1,0.1318259984254837
IGFBP6,AEBP1,0.13156233727931976
RARRES2,FGF7,0.1307743936777115
CARD8,SLC12A6,0.13058003783226013
MAL2,SLPI,0.13010196387767792
KAT6B,TMX4,0.1299963891506195
SACM1L,POU2F1,0.12919628620147705
MANF,SDF2L1,0.1291712522506714
TAGLN,TPM2,0.128942608833313
RBMS3,COL18A1,0.12869562208652496
NR3C1,TACC1,0.1281374990940094
WFDC2,SOX9,0.12769915163516998
MAL2,S100P,0.12756499648094177
SERPING1,CCDC80,0.12744128704071045
CALD1,PALLD,0.12721748650074005
KRT16,TACSTD2,0.12564757466316223
TPM2,CALD1,0.1254342496395111
KRT18,SLPI,0.1253490000963211
COL18A1,DPYSL3,0.12523561716079712
ELF3,SOX9,0.12500956654548645
KRT5,FBXO2,0.1250016689300537
CD24,WFDC2,0.12454088032245636
DSP,CD9,0.12402061372995377
CLDN4,AZGP1,0.12379323691129684
ZC3H4,PDP1,0.12376727163791656
HEY1,ID1,0.12340514361858368
S100P,AZGP1,0.12331901490688324
ADAMTS4,CRISPLD2,0.1229499951004982
DDR2,TGFBR3,0.12292566895484924
SERPING1,ABCA1,0.12252150475978851
PER1,TSPYL2,0.12250037491321564
FOS,GADD45B,0.12232407182455063
TPM1,LIMA1,0.12196127325296402
S100A2,KRT16,0.1210411861538887
C1S,COL6A2,0.11951329559087753
GIGYF1,PDP1,0.11900530010461807
ATP11B,PIK3CA,0.11864958703517914
CDC42SE2,EPB41,0.11864139884710312
KRT18,CD9,0.11857593059539795
CRIM1,NFIB,0.11770159751176834
CD24,MGST1,0.11743080615997314
