gene_a,gene_b,weight
MT-ND4,MT-ATP6,0.26782944798469543
ELF3,CD24,0.26751869916915894
MT-ND1,MT-ND2,0.26741984486579895
FBN1,COL5A2,0.2663334608078003
WFDC2,CLDN4,0.2640311121940613
FXYD3,CRYAB,0.26381656527519226
CALD1,CTGF,0.2632991075515747
TRIM22,PARP14,0.26326698064804077
CENPF,CENPE,0.2621074318885803
PRSS23,DPYSL3,0.26103824377059937
CAVIN1,CD59,0.26102450489997864
MT-CYB,MT-ND1,0.26083904504776
ABTB1,WHAMM,0.26073864102363586
C1R,BGN,0.2596797049045563
CD24,CLDN4,0.2593608498573303
TOP2A,CENPE,0.2592567503452301
EXOSC6,TCTN3,0.25892961025238037
CLDN4,SLPI,0.2574390172958374
KRT17,KRT8,0.25726255774497986
ANP32E,UBE2S,0.25692763924598694
FXYD3,KRT18,0.2563988268375397
FAM160B2,NPHP3,0.2563893496990204
HSPG2,ADAMTS4,0.2561444938182831
SPARC,COL6A1,0.25550785660743713
CCNB2,MKI67,0.25525963306427
DMTF1,TRPM7,0.2551615238189697
CNN3,CYR61,0.2545095682144165
COL1A1,AEBP1,0.25421562790870667
PERP,DMKN,0.25287747383117676
TOP2A,NUSAP1,0.2527690827846527
ATXN2L,KDM4B,0.25269362330436707
LPXN,PTK2B,0.25249284505844116
CDK1,TK1,0.25186482071876526
CAVIN1,ADIRF,0.25127872824668884
MT-CYB,MT-ND3,0.2509763240814209
ACP5,RASGEF1B,0.25088000297546387
CCNA2,RRM2,0.2508583664894104
KRT5,S100A2,0.24999503791332245
CALD1,LAMC1,0.24986371397972107
LENG8,PPP1R12C,0.24969305098056793
FXYD3,CD24,0.249506875872612
SMG6,ZNF224,0.24945436418056488
COL6A2,COL6A1,0.24896131455898285
DPYSL3,FBN1,0.24852541089057922
LAMA4,HSPG2,0.2485186606645584
DCP2,ZBTB1,0.24841053783893585
MIB2,VPS13A,0.24803228676319122
MKI67,NDC80,0.24802055954933167
RAI14,CAVIN3,0.2479134351015091
FAM160B1,ZNF224,0.24755750596523285
AURKA,GTSE1,0.24692735075950623
PDZK1IP1,SLPI,0.24609552323818207
ZC3H4,C2ORF49,0.24609190225601196
BGN,CCDC80,0.2459518313407898
