gene_a,gene_b,weight
CD24,PDZK1IP1,0.22033986449241638
S100A14,SAA2,0.22027701139450073
KRT19,SMIM22,0.21988174319267273
ELF3,CLDN7,0.2196151316165924
HSPA1A,DNAJB1,0.21934263408184052
SAA1,KRT7,0.21854515373706818
SAA1,KRT16,0.21811358630657196
KRT17,TACSTD2,0.21806082129478455
ITGB6,TFAP2C,0.2179943025112152
KRT16,CLDN4,0.21770977973937988
DCN,SERPINF1,0.21684502065181732
KRT5,KRT16,0.21670259535312653
ELF3,SAA2,0.2152169793844223
KRT16,S100A2,0.21444588899612427
NECAP1,TUT7,0.21428561210632324
PPP1R15B,SLC20A1,0.2141265720129013
WFDC2,KRT7,0.21304723620414734
PODXL,STC1,0.21292297542095184
HLA-DRA,HLA-DRB1,0.21290791034698486
CTSS,SERPINB9,0.2122374325990677
FBXO32,CSRP1,0.21128296852111816
TACSTD2,S100A2,0.21127796173095703
TPM1,PALLD,0.21078179776668549
SAA1,KRT23,0.20996657013893127
KIDINS220,FTX,0.2082565277814865
CD74,HLA-DPA1,0.20782338082790375
FHL2,CSRP1,0.20647257566452026
KRT19,CLDN7,0.20612306892871857
SACM1L,ZBED5,0.2055380940437317
CLDN4,CLDN7,0.20513702929019928
KRT23,PDZK1IP1,0.20493511855602264
BGN,CCDC80,0.20481666922569275
AKAP10,NBPF19,0.20475679636001587
HLA-DPA1,HLA-DQB1,0.20441171526908875
TINAGL1,ARHGAP29,0.20351897180080414
CREBRF,INO80D,0.20347341895103455
WFDC2,CLDN7,0.20271193981170654
KRT17,FXYD3,0.20247210562229156
SFN,FXYD3,0.20226265490055084
KRT7,KRT23,0.2018307000398636
EGR1,EGR3,0.20134399831295013
SAA2,CLDN7,0.20106366276741028
FSTL1,LAMC1,0.2003071904182434
SMIM22,LCN2,0.20017586648464203
BRAF,ZC3H4,0.20011352002620697
CD74,HLA-DQB1,0.19987167418003082
ELF3,KRT18,0.19979946315288544
KRT19,MAL2,0.1988941729068756
HLA-DRA,HLA-DQA1,0.19839955866336823
MT-ND4,MT-ND1,0.1979624480009079
PDZK1IP1,CHI3L2,0.1976875364780426
FXYD3,ITGB6,0.1966632604598999
AL121944.1,BEX2,0.1965264081954956
WFDC2,KRT18,0.1961745023727417
TACSTD2,ITGB6,0.1958986073732376
FHL2,TPM1,0.1952275186777115
ATP1B1,MGST1,0.19479432702064514
RPRD2,USP42,0.19464708864688873
CHI3L2,SOX9,0.19446037709712982
KRT7,KRT18,0.19373752176761627
TACSTD2,SAA2,0.19324587285518646
TACSTD2,DSP,0.19196872413158417
KRT14,MIA,0.19189001619815826
MYL9,CALD1,0.19184623658657074
KRT16,KRT7,0.19173578917980194
TFAP2C,MIA,0.19145992398262024
USP42,ZNF263,0.19121919572353363
INO80D,TOR1AIP1,0.1910170465707779
SAA1,SOX9,0.19081634283065796
ATAD2B,POLK,0.1906224489212036
KRT19,CLDN3,0.19055400788784027
CAMK2D,FAM208A,0.19017277657985687
ATF7IP,LASP1,0.19004903733730316
MT-CO1,MT-ATP6,0.18978172540664673
ATF7IP,LNPEP,0.18955139815807343
CSRP2,SSBP3,0.1894862800836563
KRT19,AZGP1,0.18919344246387482
S100A14,S100A2,0.18915070593357086
FXYD3,KRT7,0.18835368752479553
KRT8,CLDN7,0.1882740557193756
SFN,MIA,0.18797607719898224
CLDN7,ITGB6,0.18740268051624298
MCF2L,PIK3R3,0.187241330742836
TAGLN,TPM2,0.18723559379577637
C1S,SDC2,0.18676048517227173
WFDC2,PDZK1IP1,0.18665236234664917
SFN,WFDC2,0.18621186912059784
KRT5,S100A14,0.18618960678577423
HSPA1B,DNAJB1,0.18605351448059082
SFN,ELF3,0.18576328456401825
SDC4,MGST1,0.18445180356502533
PDZK1IP1,MMP7,0.18443429470062256
DCP2,KLHL9,0.18415731191635132
CLDN4,SLPI,0.18302315473556519
WFDC2,MGST1,0.18249185383319855
CD24,LCN2,0.18213586509227753
KRT16,SOX9,0.1818239688873291
CD24,KRT8,0.18133503198623657
TIMP3,TIMP2,0.18114261329174042
KRT8,TFAP2C,0.18010930716991425
CCNT1,USP42,0.17988881468772888
CREBRF,MEF2D,0.17931193113327026
FXYD3,KRT18,0.17902027070522308
RBP1,SFRP1,0.17858818173408508
DAPP1,NUP210,0.17842890322208405
HLA-DRA,HLA-DPB1,0.17821018397808075
HLA-DRB1,HLA-DQB1,0.17814286053180695
HSPA1A,HSP90AA1,0.17797361314296722
