gene,weighted_degree,degree
RBBP5,0.9648541286587715,7
PUM2,0.9625912681221962,6
MINDY2,0.9623586684465408,5
UGP2,0.9593698009848595,7
GOSR1,0.9579443782567978,6
IL13RA1,0.95565614849329,5
WAC,0.9547064378857613,8
PTPN12,0.946299821138382,5
SDF4,0.9422886744141579,7
MGST3,0.935373105108738,6
IVNS1ABP,0.9289998859167099,7
MAP3K2,0.92661052942276,5
CD59,0.9265648275613785,7
ARL2BP,0.9247009381651878,7
U2AF2,0.9243460595607758,6
LRP10,0.9229153767228127,8
HLA-A,0.9227555021643639,4
USP16,0.9101373702287674,7
SMC3,0.9070517644286156,7
AC118549.1,0.9030732437968254,6
SLC35F6,0.9010538756847382,5
BHLHE40,0.8989259898662567,7
ANXA4,0.8966217339038849,6
CAST,0.8954805880784988,7
SELENOS,0.8932461738586426,5
SYNCRIP,0.8805712908506393,4
NKIRAS2,0.878000520169735,6
PMPCA,0.8778144642710686,6
SCAF11,0.8769558668136597,6
SUPT20H,0.8707328289747238,7
PNN,0.8628019094467163,6
TAGLN,0.8606152981519699,3
NOTCH3,0.851615197956562,6
NUDT21,0.8450787216424942,6
PPP6R3,0.8426869213581085,4
RFC1,0.8368531465530396,6
TRIP12,0.8352659642696381,5
CREB1,0.8342028930783272,7
MRPS5,0.8304417207837105,4
HADHA,0.8213640004396439,6
PPHLN1,0.8203095942735672,5
CTDSP1,0.8180397599935532,6
ATP13A3,0.8164487779140472,6
SPSB3,0.8139221668243408,6
STAMBP,0.8134402632713318,6
TGIF1,0.8131848573684692,7
GRAMD1A,0.8092824816703796,6
RDX,0.8069220185279846,6
TTC1,0.7956463098526001,5
ANXA7,0.78697070479393,4
RBM26,0.7813777551054955,4
APBB2,0.7786780595779419,4
MNAT1,0.7771993726491928,5
ARPC4,0.7741366550326347,6
RREB1,0.7720902487635612,6
TUBA1A,0.7653472274541855,5
MPRIP,0.7617144659161568,6
WASF2,0.7599484920501709,5
SSR4,0.7581112682819366,3
GLG1,0.756055973470211,5
CHD4,0.7537692338228226,6
SNRNP27,0.7512131854891777,4
B2M,0.750380277633667,4
CALD1,0.7433315813541412,3
GMFB,0.73442442715168,3
CDC37,0.729798898100853,5
PSMD11,0.7274227887392044,5
UBL3,0.7264832034707069,5
KRT19,0.7226857244968414,2
