gene,weighted_degree,degree
UTRN,0.35920119285583496,1
ADAL,0.3584146052598953,2
INAFM1,0.3582395911216736,2
HSPG2,0.3540218695998192,3
FAM76A,0.3514242321252823,3
SETD2,0.3463865667581558,2
MAFB,0.3446881175041199,2
SART3,0.3361126407980919,3
EPB41,0.3338155001401901,2
FOS,0.3231903612613678,2
PRKACB,0.32239004969596863,2
RUFY2,0.3196013942360878,2
SH3D19,0.3162256106734276,3
TRAPPC6B,0.31448153406381607,2
ZNF506,0.3114490509033203,2
EFNA1,0.3071797341108322,2
ZNF7,0.29979823529720306,2
ABCA1,0.29847003519535065,2
NDRG2,0.29819445312023163,2
RNF168,0.2976031005382538,1
PHTF2,0.29749035835266113,2
THBS2,0.2974672019481659,2
PTPN4,0.29719747602939606,2
C3ORF58,0.2915574163198471,2
HES1,0.29154184460639954,2
CELF2,0.29058191180229187,2
ADIRF,0.2890186309814453,2
IFITM3,0.28864365071058273,2
IRF7,0.28540804982185364,1
USF3,0.2826286256313324,2
WDR37,0.2826111316680908,2
BRWD3,0.28057533502578735,2
PJA2,0.27995798736810684,2
PTTG1,0.2793315649032593,1
SH3PXD2A,0.2764453589916229,2
SMARCE1,0.27620796859264374,2
CEBPD,0.27412063628435135,2
TRIM22,0.27351244539022446,2
CTGF,0.272777259349823,2
TACSTD2,0.2716265842318535,2
SIRT1,0.27017559111118317,2
IGFBP6,0.26993706077337265,2
ABL1,0.2693277448415756,2
PHC3,0.2692044600844383,2
RNF19A,0.2679421603679657,2
IRF1,0.2679057866334915,2
FOSB,0.26616615056991577,2
CCND1,0.2645275294780731,2
PUM2,0.26436884701251984,2
KAT6B,0.26036878675222397,2
BRD1,0.2595229744911194,1
SAMHD1,0.25866029411554337,2
PPP1R3E,0.2565964162349701,1
SOCS3,0.25436700135469437,2
CSRNP1,0.25382665544748306,2
SERPINF1,0.2537536919116974,2
SACS,0.2529972195625305,1
SPG11,0.24902264028787613,2
EMP2,0.24855566769838333,2
