gene_a,gene_b,weight
KRT17,SFN,0.19078391790390015
VAMP4,OGT,0.19062195718288422
PFKFB3,GTF2B,0.19049152731895447
NF1,XPA,0.19035379588603973
CALD1,TGFB1I1,0.19014273583889008
TCF7,CEP95,0.1898636519908905
PPP2R5C,KIAA1551,0.18833577632904053
PFKFB3,LACTB,0.18802684545516968
KDM4C,AP1G1,0.18730753660202026
CEP290,ANKRD49,0.18698088824748993
KRT5,S100A2,0.18669241666793823
NNMT,TGFB1I1,0.18640278279781342
EPCAM,PERP,0.1859726458787918
COL6A2,IGFBP4,0.18573153018951416
KDM4C,MIS12,0.18566247820854187
BCL6,C3ORF58,0.1853455752134323
AEBP1,NNMT,0.184499129652977
NNMT,CAV1,0.18439079821109772
COL6A1,CAVIN3,0.1838446408510208
MYL9,TPM1,0.1835772544145584
SFN,DMKN,0.18244662880897522
GPNMB,LRP1,0.1814427375793457
LHFPL6,RBMS3,0.18072953820228577
KLHL28,NPIPB5,0.18023434281349182
CALD1,PALLD,0.17980308830738068
HIVEP1,INPP4A,0.1793203353881836
NDUFAF7,ZNF506,0.1791466921567917
LRRC75A,PTAR1,0.17910608649253845
ISG15,MX1,0.1788157969713211
CREBRF,SLC38A2,0.1778939962387085
MT-CO2,MT-ND3,0.17788688838481903
CYBRD1,GSN,0.17747993767261505
BRWD3,ZNF445,0.17715606093406677
COL1A2,COL14A1,0.1770821511745453
KRT17,S100A2,0.176921546459198
RAP2C,CEMIP2,0.17660139501094818
MYL9,ANGPTL4,0.17640680074691772
KRT8,SOX9,0.1755370944738388
JADE1,AC005921.2,0.17552174627780914
C1R,LHFPL6,0.17514292895793915
IFITM3,PXDC1,0.17512881755828857
B3GAT2,DCP1B,0.17511782050132751
CKS2,PCNA,0.17434655129909515
IKZF5,MED17,0.17400647699832916
BOD1L1,RANBP2,0.1739523857831955
C1S,CTSK,0.1737843006849289
TSC2,MLH3,0.1737103909254074
LAMA4,LTBP1,0.17259208858013153
C1S,RBMS3,0.17246544361114502
PTPN4,TTC39C,0.1713791936635971
NR2F2,ADIRF,0.17110632359981537
KLHL20,VPS53,0.17081525921821594
C1R,COL14A1,0.17077727615833282
USP38,PPP1R12C,0.17039911448955536
B2M,IFI6,0.1698160171508789
C1R,EFEMP2,0.169748455286026
SPARC,COL18A1,0.16959069669246674
MALT1,PRKACB,0.16946172714233398
PTBP2,SMCR5,0.16835938394069672
ELF1,INO80D,0.16810967028141022
KDM4C,MED17,0.16726376116275787
HIST1H1C,HIST1H2BG,0.167019784450531
INAFM1,SERPINH1,0.16693547368049622
ELF3,S100A14,0.1668422520160675
TRPM7,PHTF2,0.16625668108463287
DENND4A,SPTY2D1,0.16591772437095642
DDR2,FGFR1,0.1657032072544098
COL14A1,FBN1,0.16550666093826294
FBN1,CTSK,0.16532957553863525
RANBP2,INO80D,0.16519507765769958
CENPC,RNF19A,0.16488870978355408
METTL17,ZNF7,0.1648051142692566
MYL9,RBMS3,0.16472451388835907
ZBTB11,MIS12,0.1646101176738739
KRT8,KRT16,0.16446521878242493
AP1G1,SPTY2D1,0.16440187394618988
LAMA4,IGFBP7,0.1642080694437027
PLPP1,DPYSL3,0.16389036178588867
PFKFB3,AP1G1,0.1634947955608368
ZBED5,DOT1L,0.16347356140613556
PCOLCE,THBS2,0.16322417557239532
ISG15,IFI6,0.16271385550498962
MYL9,CAVIN3,0.1626727133989334
AP1G1,MIS12,0.16258306801319122
DUSP1,FOS,0.16245068609714508
KRT8,PERP,0.1623230129480362
MYL9,TGFB1I1,0.16229502856731415
EMP3,IFI27L2,0.1621640920639038
CTR9,RIPK1,0.1620691567659378
AEBP1,COL14A1,0.16206280887126923
ZBTB11,MED17,0.16199246048927307
TRPM7,VAMP4,0.16194356977939606
PHC3,USF3,0.16147774457931519
IRF1,KLF2,0.16105647385120392
MAL2,MGST1,0.16104106605052948
FOS,FOSB,0.16073967516422272
KRT17,KRT8,0.16050095856189728
PALLD,ERRFI1,0.16048727929592133
PFKFB3,MIS12,0.1603691279888153
CALD1,TPM2,0.16029414534568787
RNASEK,SPTY2D1,0.16022297739982605
FBN1,CFH,0.1598963886499405
KRT7,PERP,0.15918874740600586
ADAM17,GTF2B,0.15857519209384918
KRT14,KRT16,0.15820862352848053
ELF1,PJA2,0.1581638604402542
C1S,COL1A1,0.15810421109199524
SPTY2D1,CSGALNACT2,0.15765172243118286
CSGALNACT2,PIM1,0.15745073556900024
MYL9,MAP1B,0.1573662906885147
S100A2,TACSTD2,0.1563849151134491
KRT14,KRT7,0.1563728004693985
