gene,weighted_degree,degree
CYR61,2.966603249311447,6
ORC5,2.961304157972336,7
MED17,2.937367767095566,7
EML2,2.9272690415382385,7
PCID2,2.9255594611167908,7
CABIN1,2.9198089241981506,7
FBRS,2.9002673029899597,7
PTPRC,2.8870294988155365,6
DPYSL3,2.8854000568389893,6
NUDT19,2.8826092779636383,6
SPRTN,2.8600620329380035,6
RBM33,2.851904332637787,8
ASCC1,2.833985835313797,7
CDC40,2.8218003511428833,6
SH2B1,2.8148775696754456,6
CTTN,2.7754826843738556,6
S100A2,2.7713869512081146,6
NSUN6,2.7680106163024902,7
MED7,2.7514755725860596,6
ZC3H13,2.744187116622925,7
ZW10,2.7423671782016754,6
SLC25A22,2.7421097457408905,6
EEFSEC,2.7393932938575745,7
PPWD1,2.738251507282257,6
GABPB1-AS1,2.7295450568199158,7
ZC3H18,2.7283351123332977,7
NUSAP1,2.7110369205474854,6
FSTL1,2.7094196379184723,6
EXOSC9,2.6794371604919434,7
KANSL3,2.6654565036296844,6
ATF7IP,2.6605314016342163,7
RAB3GAP1,2.659928411245346,7
VPS39,2.659758895635605,7
CLDN4,2.659635752439499,6
MARF1,2.655950516462326,7
ZC3H4,2.6547051668167114,7
HERC1,2.6543634831905365,6
WDR60,2.6498204469680786,7
FBXO34,2.6492814123630524,7
SNX9,2.636861950159073,6
TRIM5,2.6322852969169617,7
MYSM1,2.630083054304123,6
AURKB,2.622898519039154,5
CCNB2,2.620899885892868,6
LASP1,2.6198796331882477,6
MS4A4A,2.5987040400505066,6
CCDC159,2.598558723926544,6
SMCR5,2.5864901542663574,6
GBF1,2.566025048494339,6
GALK2,2.533259630203247,6
RRN3,2.5303821861743927,7
ZNF493,2.528481423854828,5
VWA1,2.520798832178116,6
FKBP9,2.5042597949504852,6
BAZ2B,2.495722323656082,6
LILRB4,2.4937928318977356,5
RRP8,2.4901064932346344,5
KRR1,2.4675568342208862,6
MGRN1,2.4551050662994385,6
BCAS3,2.451701372861862,6
ZNF350,2.451208084821701,6
TRAFD1,2.437245547771454,6
LMBR1L,2.425051897764206,6
CHD3,2.4248133301734924,6
HIVEP2,2.423882782459259,6
TMEM47,2.410962164402008,5
ANKRD52,2.3960039615631104,5
C2orf49,2.3941121995449066,6
NAA30,2.3804348707199097,6
S100A16,2.370778650045395,5
LNPEP,2.3638865053653717,6
SMAD7,2.3603095710277557,6
S100A13,2.3532674312591553,6
PCNX4,2.3509317338466644,6
MYO9A,2.3276509046554565,5
AVL9,2.3117412328720093,6
CSNK1G2,2.3029498755931854,6
CYLD,2.29929718375206,5
AURKA,2.2989445626735687,5
MYCBP2,2.294801414012909,6
ZNF800,2.2922788858413696,5
