condition,gene,weighted_degree,degree
ER_tumor,HNRNPH3,1.2652161717414856,9
ER_tumor,EBLN3P,1.2598892375826836,8
ER_tumor,SNAPC3,1.2531199604272842,10
ER_tumor,DNM1L,1.2528587728738785,9
ER_tumor,GLYR1,1.2353655993938446,9
ER_tumor,FAM204A,1.2213707119226456,6
ER_tumor,NEU1,1.210841953754425,7
ER_tumor,SUGP2,1.204659678041935,8
ER_tumor,TAF1D,1.1983926370739937,8
ER_tumor,NCOR2,1.196602888405323,8
ER_tumor,IREB2,1.1809946969151497,9
ER_tumor,TM9SF3,1.1791111826896667,8
ER_tumor,DYNC1I2,1.1764382869005203,7
ER_tumor,NUDT3,1.175605222582817,8
ER_tumor,CDK12,1.167484626173973,5
ER_tumor,PRPF8,1.1674054116010666,7
ER_tumor,CDC26,1.1658364981412888,8
ER_tumor,SVIL,1.1620052978396416,7
ER_tumor,SCNM1,1.158953681588173,6
ER_tumor,SMAD2,1.1530683860182762,9
ER_tumor,SP3,1.1515708193182943,8
ER_tumor,BCL10,1.1407493203878405,9
ER_tumor,PPP4R3A,1.13661477714777,8
ER_tumor,SMC1A,1.1325579807162285,7
ER_tumor,HLA-B,1.1283257752656937,4
ER_tumor,LPP,1.1266346499323845,8
ER_tumor,MRPS6,1.1223815381526947,9
ER_tumor,MARF1,1.113225132226944,8
ER_tumor,TNKS2,1.1045111268758774,7
ER_tumor,MACF1,1.089999184012413,8
ER_tumor,ISG20L2,1.086015701293945,6
ER_tumor,HPS1,1.081861972808838,8
ER_tumor,TBRG1,1.0763337090611458,8
ER_tumor,ZRANB2,1.0699985697865486,6
ER_tumor,MAP3K11,1.0585944131016731,8
ER_tumor,TMEM248,1.0559236481785774,9
ER_tumor,STT3B,1.0549506768584251,7
ER_tumor,KDM3B,1.0505970567464828,8
ER_tumor,NR2F2,1.048684038221836,6
ER_tumor,PLEKHA1,1.0474651604890823,7
ER_tumor,SRSF8,1.032342508435249,8
ER_tumor,ATAD1,1.030139036476612,7
ER_tumor,CCDC59,1.0266812816262243,7
ER_tumor,GIGYF1,1.0196519121527672,8
ER_tumor,REV1,1.0066915228962898,6
ER_tumor,DHRS7,1.005120113492012,7
ER_tumor,MUM1,0.9995144456624984,7
ER_tumor,MCFD2,0.996009796857834,7
ER_tumor,ALKBH5,0.9953439459204674,6
ER_tumor,SF3A1,0.9853827208280564,6
ER_tumor,ATG12,0.9852112531661988,5
ER_tumor,TMF1,0.9767245054244996,7
ER_tumor,DNAJC15,0.9756252467632294,6
ER_tumor,C21orf2,0.9735999777913094,6
ER_tumor,FEZ2,0.9706809520721436,8
ER_tumor,RLIM,0.9673729315400124,6
ER_tumor,RBBP5,0.9648541286587716,7
ER_tumor,PUM2,0.9625912681221962,6
ER_tumor,MINDY2,0.9623586684465408,5
