condition,selected_power,source_conditions,n_source_conditions,n_nodes,n_edges,density,network_type,min_weight,max_edges_requested,interactive_html_generated,summary_json
Triple_negative_tumor,20,,0,1281,2500,0.003049375487900078,signed,0.1,2500,True,/triumvirate/home/alexarol/breast_cancer_analysis/CoBRA-Net/results/stages/07_network/network_viz/single/Triple_negative_tumor/Triple_negative_tumor_network_viz_summary.json
Normal_BRCA1_-_pre-neoplastic,20,,0,1147,2500,0.0038038376156937213,signed,0.1,2500,True,/triumvirate/home/alexarol/breast_cancer_analysis/CoBRA-Net/results/stages/07_network/network_viz/single/Normal_BRCA1_-_pre-neoplastic/Normal_BRCA1_-_pre-neoplastic_network_viz_summary.json
Triple_negative_BRCA1_tumor,20,,0,1091,2500,0.004204542587811872,signed,0.1,2500,True,/triumvirate/home/alexarol/breast_cancer_analysis/CoBRA-Net/results/stages/07_network/network_viz/single/Triple_negative_BRCA1_tumor/Triple_negative_BRCA1_tumor_network_viz_summary.json
HER2_tumor,20,,0,1028,2500,0.004735942774656265,signed,0.1,2500,True,/triumvirate/home/alexarol/breast_cancer_analysis/CoBRA-Net/results/stages/07_network/network_viz/single/HER2_tumor/HER2_tumor_network_viz_summary.json
Normal,20,,0,1008,2500,0.004925836604088838,signed,0.1,2500,True,/triumvirate/home/alexarol/breast_cancer_analysis/CoBRA-Net/results/stages/07_network/network_viz/single/Normal/Normal_network_viz_summary.json
ER_tumor,20,,0,1150,2084,0.003154349718091346,signed,0.1,2500,True,/triumvirate/home/alexarol/breast_cancer_analysis/CoBRA-Net/results/stages/07_network/network_viz/single/ER_tumor/ER_tumor_network_viz_summary.json
