condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
ER_tumor,,20,51,3,3,0.14796156684557593,ZFP36 | JUNB | FOS,ZFP36,JUNB,FOS
ER_tumor,,20,52,3,2,0.16357667744159693,RPN1 | USO1 | CHCHD10,RPN1,USO1,CHCHD10
ER_tumor,,20,53,3,2,0.15904970094561577,NISCH | CUL4A | MAU2,NISCH,CUL4A,MAU2
ER_tumor,,20,54,3,2,0.1470858864486217,RPUSD3 | DHX30 | ACOT8,RPUSD3,DHX30,ACOT8
ER_tumor,,20,55,3,3,0.12845488389333085,PURA | MED13L | C1orf52,PURA,MED13L,C1orf52
ER_tumor,,20,56,3,2,0.1420131921768188,S100A4 | VIM | SH3BGRL3,S100A4,VIM,SH3BGRL3
ER_tumor,,20,57,3,2,0.13784422352910036,CD164 | BZW1 | ARF6,CD164,BZW1,ARF6
ER_tumor,,20,58,3,2,0.1496544033288955,XPC | MTAP | SHC1,XPC,MTAP,SHC1
ER_tumor,,20,59,3,3,0.13918229937553403,MAP1LC3B | CLK1 | PPP1R2,MAP1LC3B,CLK1,PPP1R2
ER_tumor,,20,60,3,2,0.12563302367925638,RNF13 | DICER1 | NAMPT,RNF13,DICER1,NAMPT
ER_tumor,,20,61,3,2,0.16005096584558487,HSPA1A | DNAJB1 | HSPA1B,HSPA1A,DNAJB1,HSPA1B
ER_tumor,,20,62,3,2,0.1282495930790901,URM1 | HEXA | NCSTN,URM1,HEXA,NCSTN
ER_tumor,,20,63,3,2,0.12732753530144686,MLLT6 | TSC2 | APTX,MLLT6,TSC2,APTX
ER_tumor,,20,64,3,2,0.1329756379127502,CYCS | PSMA4 | NOP58,CYCS,PSMA4,NOP58
ER_tumor,,20,65,3,2,0.128120582550764,ADD1 | CLSTN1 | ARL2,ADD1,CLSTN1,ARL2
ER_tumor,,20,66,3,2,0.12187964096665374,COMMD3 | UBE2L6 | SIL1,COMMD3,UBE2L6,SIL1
ER_tumor,,20,67,3,2,0.1239714138209819,ARIH2 | SAFB | JPX,ARIH2,SAFB,JPX
ER_tumor,,20,68,3,2,0.11447991430759424,CD2AP | RANBP9 | CDK5RAP1,CD2AP,RANBP9,CDK5RAP1
ER_tumor,,20,69,3,2,0.11303232610225669,RBM4 | UPF3B | COQ7,RBM4,UPF3B,COQ7
ER_tumor,,20,70,3,2,0.11257578805088994,PSMD12 | UBAP2 | CENPT,PSMD12,UBAP2,CENPT
ER_tumor,,20,71,3,2,0.12505306303501124,ERLEC1 | RRBP1 | SEC61A1,ERLEC1,RRBP1,SEC61A1
ER_tumor,,20,72,3,2,0.11191477626562116,AKAP13 | CREBRF | PBXIP1,AKAP13,CREBRF,PBXIP1
ER_tumor,,20,73,3,2,0.11958874762058255,FLNB | SDC4 | TCEAL4,FLNB,SDC4,TCEAL4
ER_tumor,,20,74,2,1,0.6863982677459717,TMEM176B | TMEM176A,TMEM176B,TMEM176A,
ER_tumor,,20,75,2,1,0.2867119610309601,DNAJC7 | SLTM,DNAJC7,SLTM,
ER_tumor,,20,76,2,1,0.2699711918830871,RPA3 | H2AFV,RPA3,H2AFV,
ER_tumor,,20,77,2,1,0.2569965720176697,ISG15 | IFI6,ISG15,IFI6,
ER_tumor,,20,78,2,1,0.2500940859317779,IK | RBM5,IK,RBM5,
ER_tumor,,20,79,2,1,0.2339773774147033,SUMF2 | ATF6B,SUMF2,ATF6B,
ER_tumor,,20,80,2,1,0.231283813714981,BIRC2 | TTC19,BIRC2,TTC19,
ER_tumor,,20,81,2,1,0.2231184393167495,ZFAND5 | NFE2L2,ZFAND5,NFE2L2,
ER_tumor,,20,82,2,1,0.2129279971122741,EPC1 | C9orf78,EPC1,C9orf78,
ER_tumor,,20,83,2,1,0.2088746726512909,PJA2 | SERINC1,PJA2,SERINC1,
ER_tumor,,20,84,2,1,0.2058221250772476,ZNF131 | SLC20A1,ZNF131,SLC20A1,
ER_tumor,,20,85,2,1,0.2045518010854721,CUX1 | STAG1,CUX1,STAG1,
ER_tumor,,20,86,2,1,0.2002225518226623,ADIRF | S100A13,ADIRF,S100A13,
ER_tumor,,20,87,2,1,0.1975429654121399,NOL4L | ZNF514,NOL4L,ZNF514,
ER_tumor,,20,88,2,1,0.1935343295335769,HOOK3 | EIF4EBP2,HOOK3,EIF4EBP2,
ER_tumor,,20,89,2,1,0.1929828226566314,LCOR | CDC42SE1,LCOR,CDC42SE1,
ER_tumor,,20,90,2,1,0.1920946985483169,PAK2 | COPB1,PAK2,COPB1,
ER_tumor,,20,91,2,1,0.1873616874217987,MMS19 | POLL,MMS19,POLL,
ER_tumor,,20,92,2,1,0.1847098022699356,HSP90B1 | PDIA6,HSP90B1,PDIA6,
ER_tumor,,20,93,2,1,0.1844008415937423,STX16 | TNPO1,STX16,TNPO1,
ER_tumor,,20,94,2,1,0.1808923631906509,MTREX | OSBPL8,MTREX,OSBPL8,
ER_tumor,,20,95,2,1,0.1796194314956665,AKAP17A | GPANK1,AKAP17A,GPANK1,
ER_tumor,,20,96,2,1,0.1767154783010482,MT-CO2 | MT-CO3,MT-CO2,MT-CO3,
ER_tumor,,20,97,2,1,0.1742904186248779,MTHFD1 | ODR4,MTHFD1,ODR4,
ER_tumor,,20,98,2,1,0.1702097952365875,KXD1 | MRPL35,KXD1,MRPL35,
ER_tumor,,20,99,2,1,0.1690885871648788,CCDC174 | THAP5,CCDC174,THAP5,
ER_tumor,,20,100,2,1,0.1684318631887436,UBR5 | ATL3,UBR5,ATL3,
ER_tumor,,20,101,2,1,0.1638138145208358,MED16 | EIF2B1,MED16,EIF2B1,
ER_tumor,,20,102,2,1,0.160521775484085,MID1IP1 | SERGEF,MID1IP1,SERGEF,
ER_tumor,,20,103,2,1,0.1601928919553756,TMEM39B | NFX1,TMEM39B,NFX1,
ER_tumor,,20,104,2,1,0.1553910672664642,RCE1 | MRPL16,RCE1,MRPL16,
ER_tumor,,20,105,2,1,0.1531837880611419,IFITM2 | IFITM3,IFITM2,IFITM3,
ER_tumor,,20,106,2,1,0.1515120565891266,NBPF14 | ABCD4,NBPF14,ABCD4,
ER_tumor,,20,107,2,1,0.1506196856498718,NEK9 | TMEM127,NEK9,TMEM127,
ER_tumor,,20,108,2,1,0.1505151093006134,SLC25A29 | YPEL2,SLC25A29,YPEL2,
ER_tumor,,20,109,2,1,0.1502999514341354,VPS53 | MZF1,VPS53,MZF1,
ER_tumor,,20,110,2,1,0.1493484675884246,ACTB | CAPZB,ACTB,CAPZB,
ER_tumor,,20,111,2,1,0.143235296010971,CCNL1 | SARAF,CCNL1,SARAF,
ER_tumor,,20,112,2,1,0.1430367231369018,TEX261 | RAB35,TEX261,RAB35,
ER_tumor,,20,113,2,1,0.1417832523584365,PMF1 | IDH2,PMF1,IDH2,
ER_tumor,,20,114,2,1,0.140007808804512,HBP1 | CHD1,HBP1,CHD1,
ER_tumor,,20,115,2,1,0.1392312198877334,SUGP1 | PDK2,SUGP1,PDK2,
ER_tumor,,20,116,2,1,0.1385688185691833,CHERP | TRAPPC4,CHERP,TRAPPC4,
ER_tumor,,20,117,2,1,0.1378280073404312,SLC35B3 | XPOT,SLC35B3,XPOT,
ER_tumor,,20,118,2,1,0.1368139088153839,MAGI1 | LRP6,MAGI1,LRP6,
ER_tumor,,20,119,2,1,0.1344955116510391,HIPK1 | NUP58,HIPK1,NUP58,
ER_tumor,,20,120,2,1,0.1339782774448394,NPEPL1 | CGRRF1,NPEPL1,CGRRF1,
ER_tumor,,20,121,2,1,0.1307312101125717,ACOX1 | SLC41A3,ACOX1,SLC41A3,
ER_tumor,,20,122,2,1,0.1298792213201522,ZNF217 | ZNF281,ZNF217,ZNF281,
ER_tumor,,20,123,2,1,0.129653587937355,GTF2F1 | GPATCH8,GTF2F1,GPATCH8,
ER_tumor,,20,124,2,1,0.1293750256299972,NFKBIA | DUSP1,NFKBIA,DUSP1,
ER_tumor,,20,125,2,1,0.12697833776474,SERPINH1 | RTL8C,SERPINH1,RTL8C,
ER_tumor,,20,126,2,1,0.1256860047578811,CREB3L2 | LMAN1,CREB3L2,LMAN1,
ER_tumor,,20,127,2,1,0.125580757856369,GPAT4 | ZSWIM8,GPAT4,ZSWIM8,
ER_tumor,,20,128,2,1,0.1232258081436157,B4GALT1 | KLC1,B4GALT1,KLC1,
ER_tumor,,20,129,2,1,0.1225333884358406,HCFC1R1 | OAZ2,HCFC1R1,OAZ2,
ER_tumor,,20,130,2,1,0.1223505139350891,CHD8 | TOP2B,CHD8,TOP2B,
ER_tumor,,20,131,2,1,0.1195156276226043,SUB1 | SRP19,SUB1,SRP19,
ER_tumor,,20,132,2,1,0.1165698766708374,COX6C | H2AFJ,COX6C,H2AFJ,
ER_tumor,,20,133,2,1,0.1164033487439155,UBE2D1 | TAP1,UBE2D1,TAP1,
ER_tumor,,20,134,2,1,0.1159202009439468,TP53I13 | SCAMP1,TP53I13,SCAMP1,
ER_tumor,,20,135,2,1,0.1156361103057861,TMEM216 | PPIE,TMEM216,PPIE,
ER_tumor,,20,136,2,1,0.1138548925518989,TMED9 | MYDGF,TMED9,MYDGF,
ER_tumor,,20,137,2,1,0.1125310286879539,TTF1 | TRIM13,TTF1,TRIM13,
ER_tumor,,20,138,2,1,0.1124081760644912,GNAI2 | ANXA5,GNAI2,ANXA5,
ER_tumor,,20,139,2,1,0.1120204031467437,STK24 | LAMP1,STK24,LAMP1,
ER_tumor,,20,140,2,1,0.1118105947971344,DCP2 | PRR14L,DCP2,PRR14L,
ER_tumor,,20,141,2,1,0.1113320961594581,BAG5 | AP1G1,BAG5,AP1G1,
ER_tumor,,20,142,2,1,0.1073607057332992,HELLS | ATAD2,HELLS,ATAD2,
ER_tumor,,20,143,2,1,0.1056581437587738,SKIL | ZFYVE16,SKIL,ZFYVE16,
ER_tumor,,20,144,2,1,0.1042935252189636,ZNF146 | ZC3H4,ZNF146,ZC3H4,
ER_tumor,,20,145,2,1,0.1036676466464996,ALDH3A2 | METAP1,ALDH3A2,METAP1,
ER_tumor,,20,146,2,1,0.1036211475729942,CYB5D2 | RNF20,CYB5D2,RNF20,
ER_tumor,,20,147,2,1,0.1030908226966857,FAM45A | TNRC6A,FAM45A,TNRC6A,
ER_tumor,,20,148,2,1,0.1027872562408447,TM4SF1 | CLU,TM4SF1,CLU,
ER_tumor,,20,149,2,1,0.1024933606386184,XPO1 | CMTM6,XPO1,CMTM6,
ER_tumor,,20,150,2,1,0.1021012514829635,USP33 | ZYG11B,USP33,ZYG11B,
ER_tumor,,20,151,2,1,0.1016520634293556,PPM1B | RNASEH2B,PPM1B,RNASEH2B,
ER_tumor,,20,152,2,1,0.1011728271842002,WNK1 | CLTC,WNK1,CLTC,
ER_tumor,,20,153,2,1,0.1011442244052887,ARNT | C1orf131,ARNT,C1orf131,
ER_tumor,,20,154,2,1,0.1009183302521705,DEGS2 | FASN,DEGS2,FASN,
HER2_tumor,,20,1,163,606,0.275986481445654,TEAD1 | COX7A1 | FBN1,TEAD1,COX7A1,FBN1
HER2_tumor,,20,2,105,227,0.26171044132257876,HERC1 | DPP8 | CTDSPL2,HERC1,DPP8,CTDSPL2
HER2_tumor,,20,3,96,512,0.2991363257460762,DOCK2 | SPN | JAML,DOCK2,SPN,JAML
HER2_tumor,,20,4,76,125,0.25898190009593963,MACF1 | PLEC | PPP1R12A,MACF1,PLEC,PPP1R12A
HER2_tumor,,20,5,64,220,0.26697435460307384,FBRS | PHF21A | MAFK,FBRS,PHF21A,MAFK
HER2_tumor,,20,6,62,128,0.2806272244779393,TGFB1 | SH3KBP1 | SLC2A3,TGFB1,SH3KBP1,SLC2A3
HER2_tumor,,20,7,35,119,0.2804987511965407,MKI67 | UBE2C | CCNB2,MKI67,UBE2C,CCNB2
HER2_tumor,,20,8,32,68,0.28124630955212254,ADAM17 | RASA1 | ELK4,ADAM17,RASA1,ELK4
HER2_tumor,,20,9,32,64,0.2764120395295322,PBX2 | CLASP1 | ZNF836,PBX2,CLASP1,ZNF836
HER2_tumor,,20,10,28,80,0.2832776207476854,EP300 | PNPLA8 | ZBED5,EP300,PNPLA8,ZBED5
