condition,gene_a,gene_b,weight
ER_tumor,BMPR2,MINDY2,0.2642795741558075
ER_tumor,NSUN5,LRPPRC,0.2641589045524597
ER_tumor,TCTN3,TRAPPC2,0.2637752890586853
ER_tumor,LUC7L2,DKC1,0.2631776630878448
ER_tumor,ERBIN,PRPF8,0.2630869746208191
ER_tumor,MACF1,MARK3,0.2630742192268371
ER_tumor,AGO3,ACAP2,0.2626520991325378
ER_tumor,TPR,EMC10,0.2616470158100128
ER_tumor,ISG20L2,SLC35F6,0.2612572312355041
ER_tumor,ZNF106,TNRC6B,0.2608912587165832
ER_tumor,AGO3,JAK1,0.2602520585060119
ER_tumor,USP9X,GOPC,0.2593264579772949
ER_tumor,ZNRD1,RBM6,0.2588294744491577
ER_tumor,BAZ2B,XPA,0.258816123008728
ER_tumor,ZC3H6,TCTN3,0.2585310637950897
ER_tumor,ISG15,IFI6,0.2569965720176697
ER_tumor,SYF2,TAF7,0.2560437321662903
ER_tumor,RBM6,ACAP2,0.2559161782264709
ER_tumor,ZNF207,RAB6A,0.2559114396572113
ER_tumor,TNRC6B,PPP2R5E,0.2556432783603668
ER_tumor,ZNF207,USP9X,0.255460649728775
ER_tumor,PPP1R10,YPEL5,0.2553180456161499
ER_tumor,RAB6A,IFT20,0.2552137970924377
ER_tumor,BDP1,ZNRD1,0.2546706795692444
ER_tumor,INTS11,ZNF518A,0.2546513378620147
ER_tumor,CTDNEP1,CYBC1,0.2537901997566223
ER_tumor,DKC1,GON4L,0.2535922825336456
ER_tumor,INTS11,EIF2S1,0.253377228975296
ER_tumor,RBM17,PPHLN1,0.2530608475208282
ER_tumor,GCC2,PHF3,0.252873033285141
ER_tumor,RAB3GAP1,GLYR1,0.2527976334095001
ER_tumor,CCDC127,MNAT1,0.2523584961891174
ER_tumor,HNRNPR,SMC1A,0.2520314455032348
ER_tumor,RNMT,NKTR,0.2502799332141876
ER_tumor,GATAD1,NKIRAS2,0.2501240968704223
ER_tumor,RBM5,IK,0.2500940859317779
ER_tumor,ENAH,VGLL4,0.2495541423559188
ER_tumor,DHX36,BCLAF1,0.2486408948898315
ER_tumor,S100PBP,TRIP12,0.2485311329364776
ER_tumor,GGNBP2,PDHB,0.2481196522712707
ER_tumor,IL13RA1,NRIP1,0.2480524182319641
ER_tumor,POLR3GL,FGFR1OP2,0.2480449676513672
ER_tumor,CDC40,MAP3K2,0.2479430586099624
ER_tumor,PPP2R2A,LSM8,0.2476428002119064
ER_tumor,ZNF511,PPP2R3C,0.2473858892917633
ER_tumor,SP3,MFSD11,0.246300607919693
ER_tumor,SRRM1,CCDC59,0.2462193667888641
ER_tumor,RNF115,ACAP2,0.2437542974948883
ER_tumor,ZRANB2,ADAM17,0.2431251853704452
ER_tumor,SRRM1,DHX36,0.2429322451353073
ER_tumor,ZNRD1,ACAP2,0.2425272464752197
ER_tumor,ANKRD10,GOPC,0.2419511377811432
ER_tumor,PPP2R2A,ZNRD1,0.2412336319684982
ER_tumor,ZC3H6,TLK1,0.2410924136638641
ER_tumor,CYSTM1,REEP3,0.2398140579462051
ER_tumor,SUCLA2,PRPF8,0.2396001517772674
ER_tumor,VGLL4,LPP,0.2395398765802383
ER_tumor,DNAJA2,FKBP3,0.2395345121622085
ER_tumor,STT3B,TM9SF3,0.2393094897270202
ER_tumor,GATAD1,SUGP2,0.239209309220314
ER_tumor,NUDCD3,NRDE2,0.2389004379510879
ER_tumor,ZNF207,IFT20,0.2388869822025299
ER_tumor,ZNF207,KDM5A,0.2386776804924011
ER_tumor,HLA-B,HLA-E,0.2378367036581039
ER_tumor,PTGFRN,SVIL,0.2377894818782806
ER_tumor,NSUN5,CCAR1,0.237291544675827
ER_tumor,SDF4,AK3,0.2372069060802459
ER_tumor,PPP2R2A,CCAR1,0.2367554605007171
ER_tumor,CALD1,MYL9,0.2365073263645172
ER_tumor,DNM1L,SPPL2A,0.2362439930438995
ER_tumor,AGO3,LRPPRC,0.2358932644128799
ER_tumor,TM2D1,MGST3,0.2357592433691024
ER_tumor,TJP1,PARVA,0.2356770932674408
ER_tumor,SDHA,PFDN1,0.2356319427490234
ER_tumor,ANXA7,SEC22B,0.235546663403511
ER_tumor,NEU1,DHRS7,0.2349290996789932
ER_tumor,CDC40,KIAA2026,0.2344753146171569
ER_tumor,ACAP2,CCAR1,0.2342872619628906
ER_tumor,ATF6B,SUMF2,0.2339773774147033
ER_tumor,TIAL1,GYG1,0.2335874736309051
ER_tumor,PRDM2,MIER1,0.2334584444761276
ER_tumor,PNISR,DDX17,0.2333812266588211
ER_tumor,CDC26,C22orf39,0.2331830859184265
ER_tumor,ZADH2,RLIM,0.2328592240810394
ER_tumor,AC118549.1,CHD3,0.2327665388584137
ER_tumor,PPP2R2A,TM2D3,0.2319147288799286
ER_tumor,PHIP,SECISBP2,0.2317069172859192
ER_tumor,SNRNP27,SZRD1,0.2313255071640014
ER_tumor,BIRC2,TTC19,0.231283813714981
ER_tumor,DHX9,GLUD1,0.2311831265687942
ER_tumor,HNRNPR,SNRNP40,0.2310516536235809
ER_tumor,RLIM,CHD3,0.2308139353990554
ER_tumor,PPP2R2A,USP34,0.2302981168031692
ER_tumor,ORMDL1,PPP2R5C,0.2302771359682083
ER_tumor,AGO3,AQR,0.2302452325820922
ER_tumor,ARGLU1,SCAF11,0.2300544828176498
ER_tumor,ZNF207,ARMCX3,0.2299587279558181
ER_tumor,CELF1,TNRC6B,0.2298510670661926
ER_tumor,ZNRD1,TM2D3,0.2296534180641174
ER_tumor,MPZL1,RCN1,0.2296083271503448
ER_tumor,TJP1,LIMCH1,0.2289065569639206
ER_tumor,ENAH,CNN3,0.2287838011980056
ER_tumor,ACTN4,LEPROT,0.2287239134311676
ER_tumor,RAB3GAP1,NUFIP2,0.2287077754735946
ER_tumor,FYTTD1,ZNF451,0.2286321967840194
ER_tumor,USP9X,PRPF4B,0.2285073846578598
ER_tumor,SYF2,DHX36,0.2284346669912338
ER_tumor,SUZ12,JKAMP,0.2283769100904464
ER_tumor,ZNRD1,NSUN5,0.2281355112791061
ER_tumor,FAM91A1,U2AF2,0.2281298041343689
ER_tumor,NEU1,PPP6C,0.2276888042688369
ER_tumor,RNF115,USP34,0.2276613265275955
ER_tumor,IFT20,SECISBP2,0.226801648736
ER_tumor,HNRNPR,C16orf72,0.2267629206180572
ER_tumor,USP47,BBX,0.2263840138912201
ER_tumor,GMFB,CDC40,0.2262923270463943
ER_tumor,BDP1,RNF115,0.2246294319629669
ER_tumor,ARMCX3,USP9X,0.2243377566337585
ER_tumor,EIF2S1,POP4,0.2240468710660934
ER_tumor,C22orf39,FRG1,0.2234564125537872
ER_tumor,NFE2L2,ZFAND5,0.2231184393167495
ER_tumor,PKN2,SF3A1,0.2230929285287857
ER_tumor,SRRM1,TM2D1,0.2230509370565414
ER_tumor,UBE2G2,PPP6R3,0.2230507880449295
ER_tumor,POGZ,MUM1,0.2223347872495651
ER_tumor,RDX,STT3A,0.2215902060270309
