gene_a,gene_b,weight
SFN,KRT16,0.3634105920791626
ENPEP,COL6A3,0.3623611629009247
CDH5,ADGRL4,0.36211857199668884
ENPEP,CRISPLD2,0.36194467544555664
PLVAP,SELE,0.36192718148231506
CDH1,CTSV,0.36184367537498474
S100A14,CLDN7,0.3616454005241394
MAN1A1,ADD3,0.3613411486148834
CLMP,FNDC3A,0.3604778051376343
MT-ATP6,MT-ND3,0.36031705141067505
ITGB6,SAA1,0.35907986760139465
SAA1,SAA2,0.35809534788131714
DCN,APOD,0.35780447721481323
GIMAP6,KDR,0.3575338125228882
REV1,ZNF276,0.3570909798145294
FHL2,DUSP14,0.35687145590782166
HLA-DRA,HLA-DQA1,0.3563860058784485
ECSCR,S1PR1,0.35568568110466003
EP300,ZC3H4,0.35559481382369995
MAST4,NEDD9,0.3555106818675995
TACSTD2,ANXA3,0.35525548458099365
KRT7,LAMB3,0.354987770318985
KRT17,TNS4,0.3547302484512329
TCF4,NUAK1,0.35438549518585205
CREBRF,HECA,0.3537060022354126
VWF,F2RL3,0.3533717095851898
KLF5,SOX9,0.35335707664489746
CLDN7,WFDC2,0.35261213779449463
MXD1,FNBP1,0.35247135162353516
BRAF,ERBIN,0.3524627089500427
TMC5,AZGP1,0.3521801829338074
FXYD1,COL6A3,0.35171404480934143
ID3,CDKN1A,0.35079124569892883
FXYD1,BGN,0.35076284408569336
PRKCH,SWAP70,0.3505260646343231
TFAP2C,CDH3,0.3500927984714508
KRT7,IRF6,0.350064218044281
CDH5,CLDN5,0.34996989369392395
SFN,TMEM40,0.34959349036216736
ZRANB1,HELZ,0.349488765001297
ZEB2,COL6A3,0.34915605187416077
CLDN7,VAMP8,0.3471417725086212
CDH5,MYCT1,0.3470951020717621
ACTB,ACTG1,0.3470180928707123
MMP19,PDGFRB,0.3466896116733551
TNS4,TRIM29,0.3452910780906677
CLDN4,MMP7,0.345171719789505
SOD3,CFD,0.34490883350372314
KRT8,KRT16,0.34420832991600037
PIP,MUCL1,0.3440544903278351
TRIM29,NEDD4L,0.34359923005104065
IRF6,KRT16,0.3435748219490051
ECSCR,ADGRL4,0.34299957752227783
CDH3,TRIM29,0.3425053656101227
CDH5,RASGRP3,0.34239014983177185
COL6A3,FGF7,0.3417995870113373
DCP2,MARF1,0.34121665358543396
MMP19,AGTR1,0.3410518765449524
KRT8,FXYD3,0.34101754426956177
COG3,DMTF1,0.34084364771842957
S100A14,WFDC2,0.34040912985801697
GNG11,NUAK1,0.3395681381225586
PECAM1,ADGRL4,0.3394250273704529
TRIM29,TMEM30B,0.338763028383255
ENPEP,AGTR1,0.33876174688339233
CLDN4,CD24,0.33866414427757263
ADCY4,KDR,0.3381824493408203
PDGFRB,BGN,0.33783915638923645
IRF6,TMEM30B,0.33762767910957336
S100A14,ELF3,0.3375191390514374
IRF6,ITGB6,0.337420791387558
F2RL3,PCAT19,0.33703625202178955
MCL1,GEM,0.33691513538360596
TACSTD2,SAA1,0.3365582525730133
ZNF354A,PRPF39,0.33641719818115234
PTPRB,ADCY4,0.33635833859443665
SERPINF1,GEM,0.3361043632030487
VAMP8,ANXA3,0.3360108733177185
LAMA4,PLIN2,0.3360026180744171
SFN,LAMB3,0.33580726385116577
ERBIN,TPP1,0.33575674891471863
LRRC32,SASH1,0.3357508182525635
CLDN7,CDCP1,0.3349037170410156
THAP2,TENT5A,0.3347620368003845
TFPI,SDCBP,0.3344403803348541
TTC14,GTF2A1,0.3339431583881378
CDH5,GIMAP7,0.33393433690071106
MMP19,COL6A3,0.33386242389678955
TTC14,DMTF1,0.3338328003883362
KRT5,TMEM40,0.3334225118160248
ACVRL1,ITGA5,0.3323996365070343
PLIN2,MSX1,0.3320876359939575
TFAP2C,PARD6B,0.3319094777107239
ADAMTS9,PNP,0.3315611779689789
TCF4,GNG11,0.33140918612480164
FHL2,IRX2,0.3304402530193329
SLC20A1,TOR1AIP1,0.3304362893104553
UPP1,IFI27,0.32974129915237427
LUM,GFPT2,0.3297369182109833
SLC2A3,EBF1,0.3294520080089569
SUPV3L1,ZNF263,0.3291853666305542
BMPR2,HIP1,0.32917481660842896
RHOJ,GMFG,0.32917481660842896
KRT7,KRT6B,0.3291654586791992
S100A14,PARD6B,0.32866474986076355
ECSCR,MYCT1,0.3280768394470215
PPP1R15B,TOR1AIP1,0.32784122228622437
SCAMP1,GTF3C1,0.32778915762901306
FXYD1,ZEB2,0.326001912355423
ZEB1,CLEC2B,0.32581618428230286
IFI27,COL15A1,0.32548069953918457
PIGR,SLC34A2,0.3253151476383209
GIMAP6,GMFG,0.32498857378959656
FAM193A,RBM10,0.3245904743671417
DPT,CFD,0.32457390427589417
LBH,ADAMTS1,0.32390186190605164
BCL6B,MYCT1,0.3233475387096405
PECAM1,CALCRL,0.3231402039527893
PECAM1,F2RL3,0.3230955898761749
F2RL3,ADGRL4,0.3227953612804413
TMEM40,TRIM29,0.3226040303707123
ELF3,FXYD3,0.3224756717681885
KRT6B,S100A2,0.3224388659000397
KRT7,CDH3,0.32223615050315857
MPZL3,DSC2,0.3220585584640503
STEAP1,STEAP2,0.32183516025543213
ARHGAP29,EDN1,0.3217568099498749
FXYD1,CRISPLD2,0.3214609920978546
CCDC80,SERPING1,0.3213551640510559
VWF,CLDN5,0.3206380605697632
BCL6B,ANGPT2,0.32050538063049316
SLC34A2,MAL2,0.32045602798461914
BCL6B,ADGRL4,0.32025572657585144
DCN,COL6A3,0.32005754113197327
SLMAP,OFD1,0.31995052099227905
PCAT19,TIE1,0.3197636306285858
PECAM1,ECSCR,0.31951776146888733
ECSCR,ADCY4,0.3194647431373596
CNRIP1,CLIC2,0.3193111717700958
BRAF,POLK,0.31898388266563416
LUM,APOD,0.31894221901893616
SFN,TRIM29,0.31865349411964417
KAT6A,KDM2A,0.3181368410587311
MYSM1,GIGYF1,0.3181276023387909
CLK1,CCNL1,0.31792184710502625
DSP,CARD10,0.3175989091396332
KRT19,ELF3,0.3174437880516052
PECAM1,GMFG,0.316883385181427
DMTF1,KLHL9,0.31686317920684814
KRT23,KRT19,0.31677496433258057
CDH5,HHEX,0.31639501452445984
TACSTD2,SFN,0.3161657750606537
PECAM1,MYCT1,0.31613922119140625
CD36,ESAM,0.3161388337612152
COG3,TAOK2,0.31611669063568115
S100A14,KRT23,0.3159720003604889
SRPX,FN1,0.315448135137558
ITGA6,MET,0.3149403929710388
APOLD1,CD36,0.31400755047798157
EP300,ERBIN,0.31379204988479614
SERPINF1,IGFBP6,0.31370028853416443
NR2C2,DPP8,0.3136279881000519
KRT19,S100A9,0.3136163055896759
BCL6B,CLDN5,0.31331494450569153
FLT1,HLA-DPA1,0.31303897500038147
ADGRF5,ESAM,0.313020795583725
SFN,PRSS22,0.31254521012306213
SSTR2,GCNA,0.3122507333755493
PARD6B,ITGA3,0.3122205436229706
EP300,POU2F1,0.31146731972694397
DCN,FXYD1,0.3114297389984131
S100A14,VAMP8,0.31138017773628235
KRT23,CD24,0.3108454644680023
S100A2,TMEM40,0.30995821952819824
PDGFRB,CRISPLD2,0.30990728735923767
INO80D,SAMD4A,0.30979958176612854
FAM193A,ERBIN,0.30971285700798035
MT-CO3,MT-ND4,0.3089194893836975
TACSTD2,CLDN7,0.30891773104667664
KRT7,ANXA3,0.3088269531726837
KRT8,ITGB6,0.30856722593307495
TOR1AIP1,CRY1,0.30822041630744934
PTPRB,MYCT1,0.30731678009033203
SCML1,RELT,0.3072859048843384
CHST15,CD276,0.30710408091545105
IRF6,KRT6B,0.30655404925346375
RAB29,LASP1,0.3064596652984619
SLC34A2,CXCL17,0.3060794770717621
CSRNP1,MYLIP,0.30529341101646423
KRT5,TRIM29,0.30524590611457825
ZEB2,CXCL12,0.30508843064308167
TCF4,CNRIP1,0.30498480796813965
KCNE4,CRISPLD2,0.304730087518692
F2RL3,TIE1,0.3046797811985016
EP300,POLK,0.30427995324134827
KRT14,TNS4,0.3040892481803894
IFI27,PKIG,0.30378949642181396
NID1,SRPX,0.3034527599811554
ECSCR,PTPRB,0.3033214807510376
GIMAP6,ADGRL4,0.30304983258247375
PIK3CA,PJA2,0.30286523699760437
IRF6,PRSS22,0.3028638958930969
REV1,RUFY3,0.3027351498603821
FXYD3,VAMP8,0.30262675881385803
TOR1AIP1,ZNF263,0.3025076687335968
CLMP,SRGAP1,0.30250290036201477
SPARC,ITM2A,0.30247801542282104
CDH5,ADCY4,0.30241426825523376
TACSTD2,ITGB6,0.30230292677879333
S100A14,SAA1,0.30191388726234436
CDH5,ANGPT2,0.30176928639411926
ADGRF5,NUAK1,0.3016948103904724
CDH3,ITGB6,0.30138394236564636
ENPEP,SSTR2,0.301357626914978
COL6A3,PRRX1,0.30022862553596497
LGALS3BP,C3,0.30005040764808655
TIE1,GIMAP7,0.2998066246509552
TACSTD2,IRF6,0.29977816343307495
CD36,FABP4,0.2997690439224243
KRT23,FXYD3,0.29967570304870605
KRT8,CLDN7,0.2994705140590668
SNX14,UFL1,0.29945987462997437
SOD3,VASN,0.2992875874042511
LAMB3,ITGB6,0.29910746216773987
TACSTD2,STC2,0.2990133464336395
ECSCR,CALCRL,0.298787385225296
KRT23,ELF3,0.29850754141807556
CLDN4,FXYD3,0.29726967215538025
KRT7,SAA1,0.29625093936920166
CDH5,RHOJ,0.2962498068809509
ZNF263,ZNF143,0.2959585189819336
TPM2,SH3PXD2A,0.2959069609642029
TPD52,CEACAM1,0.2958100736141205
ZNF276,NR2C2,0.2956438958644867
CDH1,GATA3,0.29552650451660156
MMP19,FXYD1,0.29552632570266724
CYP20A1,ZNF84,0.2954815626144409
ADGRF5,ADAMTS9,0.29544955492019653
BIN1,RORA,0.2954237461090088
PLEKHG1,DOC2B,0.2953505516052246
DCN,MMP2,0.2953397035598755
SFN,ITGB6,0.2950216233730316
CDH5,TIE1,0.29497021436691284
NID1,CTSL,0.29453974962234497
TTC14,DCP2,0.294039249420166
RHOJ,GIMAP6,0.293655663728714
KRT19,AZGP1,0.2934023141860962
S100A2,TRIM29,0.2932969033718109
VWF,ADCY4,0.29308637976646423
CNRIP1,RFTN1,0.292869508266449
ZBTB40,AMMECR1L,0.2924300730228424
CAPN8,SMIM22,0.2921138405799866
ZHX1,SCAF4,0.2919994294643402
TACSTD2,FXYD3,0.2916383445262909
KRT8,PRSS22,0.29146960377693176
ERBIN,FRYL,0.29113516211509705
AZGP1,TFF1,0.29067665338516235
CMTM8,ACSL5,0.2901752293109894
SLC2A3,LAMA4,0.28987911343574524
ZNF143,ZNF800,0.2896556854248047
CDH1,KLK7,0.2893911302089691
DNAJA1,BAG3,0.28884050250053406
CXCL3,CXCL2,0.28881630301475525
PECAM1,CLDN5,0.2885310649871826
DPT,COL6A3,0.2884404957294464
TACSTD2,PRSS22,0.2880857586860657
TACSTD2,CDCP1,0.28773820400238037
WFDC2,FXYD3,0.28769204020500183
CYP20A1,TMX4,0.2875852882862091
ARSG,WIPI1,0.28757745027542114
FRYL,SYNE2,0.28751927614212036
EDNRB,CLEC2B,0.2871796488761902
NID1,FN1,0.2866382896900177
PECAM1,ANGPT2,0.2866368591785431
GNG11,CLIC2,0.2866024672985077
FXYD1,CXCL12,0.28642651438713074
NEDD9,EVA1C,0.28632694482803345
SLC2A3,PPARG,0.2862909734249115
S100A14,STC2,0.2862595319747925
DCN,C1S,0.2862290143966675
SNX14,ATAD2B,0.2862017750740051
GFPT2,THAP2,0.2861957848072052
F2RL3,RASGRP3,0.2861059010028839
DPT,MMP2,0.28589266538619995
TNS4,IRF6,0.28571003675460815
SDCBP,LY96,0.28532683849334717
MYCT1,GIMAP7,0.28521767258644104
CDH3,TMEM40,0.2851487100124359
TMEM45B,TFF1,0.28494536876678467
BTN2A1,HERPUD2,0.2849019765853882
MECOM,SOX17,0.2848699688911438
EP300,RBM10,0.2847331464290619
NUAK1,FAM43A,0.2847062051296234
RASSF6,ARHGEF5,0.2846205532550812
SNAI2,MEG3,0.2842874526977539
KIAA2026,SIN3A,0.28405532240867615
KRT5,S100A2,0.2838610112667084
ZNF276,RBM10,0.2838588356971741
SERPINF1,MMP2,0.28377723693847656
EDNRB,NID1,0.2837393879890442
KRT8,KRT18,0.283467561006546
TMC5,SMIM22,0.2833506166934967
VAMP8,SERPINA3,0.2832944691181183
TMEM40,TMEM30B,0.28325510025024414
FAM193A,POLK,0.2830325663089752
IRF6,TMEM40,0.28265687823295593
RUFY3,KDM3A,0.2823125123977661
ADAM17,TRPM7,0.28186720609664917
SMS,ALDH1A3,0.2818543314933777
SMAD1,SULF2,0.2817612886428833
ESAM,FABP4,0.28160297870635986
PPARG,LY96,0.28144189715385437
RHOJ,PTPRB,0.2814299166202545
AZGP1,SMIM22,0.2813071608543396
ECSCR,CLDN5,0.281048059463501
CNRIP1,IGFBP7,0.28093311190605164
IRF6,S100A2,0.2808516025543213
POLK,FRYL,0.2806083858013153
ATP11B,MDM2,0.28022366762161255
ADGRF5,ANGPT2,0.2801756262779236
ZEB1,OLFM1,0.2798568606376648
KLHL24,LCORL,0.2796880304813385
NRP2,CPNE8,0.27958446741104126
VWF,RHOJ,0.27947118878364563
