gene_a,gene_b,weight
TAGLN,CRYAB,0.1289016157388687
INO80D,RLF,0.1280212551355362
APOC1,APOE,0.1278499960899353
TINAGL1,ARHGAP29,0.12768281996250153
SPARC,LHFPL6,0.12761151790618896
KRT19,CLDN4,0.1273680031299591
CCNL1,IFRD1,0.12692564725875854
TPM1,FHL2,0.12630221247673035
CD74,HLA-DQA1,0.12461306899785995
MAN2A1,ZFYVE16,0.12458553910255432
TPM2,MYL9,0.12449789047241211
PODXL,DOCK9,0.12422825396060944
KRT19,CLDN3,0.12319714576005936
COL6A1,COL6A2,0.12299492955207825
KRT19,ELF3,0.1226317435503006
KRT18,TACSTD2,0.12238150089979172
SH3KBP1,LY96,0.1222502738237381
SLC2A3,RFTN1,0.12205798178911209
POLK,ZDHHC17,0.12187041342258453
CRISPLD2,SOD3,0.12143298983573914
MT-ATP6,MT-ND1,0.1209852322936058
HLA-DQA1,HLA-DPB1,0.11990631371736526
SPARC,CXCL12,0.11973966658115387
CD74,HLA-DMA,0.11905955523252487
COL4A1,COL18A1,0.11875587701797485
BMPR2,SNTB2,0.1184171587228775
ENG,RIPOR1,0.1178324818611145
LUM,C1S,0.1176074668765068
DCN,SOD3,0.11754565685987473
SPARC,A2M,0.11743143200874329
KRT8,GATA3,0.11735759675502777
EFNA1,EDN1,0.1168966293334961
MT-CO3,MT-ND3,0.11684440076351166
ZMYM2,ZNF292,0.1159382089972496
SLC2A3,PLEKHO1,0.11471059173345566
MAST4,NEDD9,0.11465951800346375
COL4A2,COL18A1,0.11402633041143417
ARHGAP29,EDN1,0.11377393454313278
COL6A3,RARRES2,0.1135927066206932
FMNL3,TGFB1,0.1134740337729454
SLC2A3,SH3KBP1,0.1134728267788887
TIMP2,CCDC80,0.1134483590722084
S100A14,CLDN3,0.11324089765548706
VCAN,NRP1,0.11264888942241669
SLC2A3,LY96,0.11172764003276825
FMNL3,ITGA5,0.11142510920763016
LY96,HSD17B11,0.11126790940761566
SH3KBP1,LIX1L,0.11080808937549591
CCDC80,BGN,0.11061177402734756
HYAL2,SMAD1,0.11031472682952881
BGN,LHFPL6,0.11024009436368942
LUM,SERPINF1,0.11016440391540527
LHFPL6,ID3,0.1100843995809555
RARRES2,BGN,0.1095050498843193
WIPF1,GMFG,0.1094900369644165
CREBRF,SKIL,0.10937990993261337
FTX,PJA2,0.10910391062498093
BMPR2,MTUS1,0.10908713191747665
SPARCL1,A2M,0.10893962532281876
FMNL3,WIPF1,0.10807915031909943
CNKSR3,SLC9A3R2,0.10780027508735657
GBP4,TRIM22,0.10749826580286026
PHACTR2,SH3BP5,0.10733180493116379
ENG,CD93,0.10693976283073425
ACTA2,MYL9,0.10689985752105713
PJA2,PIK3CA,0.1067696064710617
CTDSPL2,SETX,0.1067657321691513
PJA2,LENG8,0.10596555471420288
ELF3,KRT7,0.10592521727085114
MT-CO1,MT-ND1,0.10559544712305069
COL4A1,GNG11,0.10546526312828064
PECAM1,CARD8,0.10544708371162415
DCN,BGN,0.10529343783855438
SMAD1,RALGAPA2,0.10511479526758194
KIAA1109,VPS13C,0.10509555041790009
BGN,TIMP3,0.10491803288459778
MMP2,C1S,0.10491428524255753
PALLD,ACTN1,0.10484326630830765
PCNA,SMC2,0.10478490591049194
KRT7,ITGB6,0.10442285984754562
COL18A1,DPYSL3,0.1043737381696701
WIPF1,LY96,0.10435844957828522
COL4A2,LHFPL6,0.10383937507867813
HLA-DQB1,HLA-DMA,0.10377964377403259
FXYD3,GATA3,0.10357591509819031
SNTB2,NOTCH1,0.10342151671648026
CRISPLD2,BGN,0.10320071130990982
SPARCL1,SPRY1,0.10293016582727432
KRT19,TACSTD2,0.10243221372365952
BMPR2,SIPA1L2,0.10225490480661392
MMP2,BGN,0.10210534185171127
SPARC,BGN,0.10155011713504791
ZEB1,TGFB1,0.10146505385637283
POLK,SOS1,0.10112621635198593
RAI14,WWTR1,0.10088534653186798
MMP2,C1R,0.10018011927604675
TIMP2,TIMP3,0.1001136526465416
CXCL12,NRP1,0.10002271085977554
