condition,source_conditions,selected_power,community_id,n_nodes,n_internal_edges,mean_internal_edge_weight,top_hub_genes,top_hub_1,top_hub_2,top_hub_3
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,24,3,2,0.21098900586366648,KLF9 | BAG3 | ITPRIP,KLF9,BAG3,ITPRIP
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,25,3,2,0.17920730262994766,ADAL | ICE2 | CDK5RAP1,ADAL,ICE2,CDK5RAP1
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,26,3,2,0.1869034096598625,KLHL28 | CCDC93 | NPIPB5,KLHL28,CCDC93,NPIPB5
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,27,3,2,0.17234405875205988,MAFB | IER3 | SELENOP,MAFB,IER3,SELENOP
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,28,3,2,0.12390094622969625,FOXN3 | VSIR | NR3C1,FOXN3,VSIR,NR3C1
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,29,3,2,0.12106222286820409,CAV2 | PDLIM1 | CRIP2,CAV2,PDLIM1,CRIP2
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,30,3,2,0.13395289331674576,IRF1 | KLF2 | NFKBIA,IRF1,KLF2,NFKBIA
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,31,3,2,0.14577870815992355,C3ORF58 | BCL6 | TRIM8,C3ORF58,BCL6,TRIM8
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,32,3,2,0.1183951795101165,COQ7 | HIST1H2AC | LINC00662,COQ7,HIST1H2AC,LINC00662
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,33,2,1,0.224910631775856,HSPH1 | HSP90AA1,HSPH1,HSP90AA1,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,34,2,1,0.1978927552700042,HSPA1A | HSPA1B,HSPA1A,HSPA1B,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,35,2,1,0.1959835439920425,ANKDD1A | RPGR,ANKDD1A,RPGR,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,36,2,1,0.1913295090198516,GNPTAB | SC5D,GNPTAB,SC5D,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,37,2,1,0.1814427375793457,LRP1 | GPNMB,LRP1,GPNMB,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,38,2,1,0.1751178205013275,DCP1B | B3GAT2,DCP1B,B3GAT2,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,39,2,1,0.1683593839406967,SMCR5 | PTBP2,SMCR5,PTBP2,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,40,2,1,0.167019784450531,HIST1H1C | HIST1H2BG,HIST1H1C,HIST1H2BG,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,41,2,1,0.1621640920639038,IFI27L2 | EMP3,IFI27L2,EMP3,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,42,2,1,0.156054601073265,AC124016.1 | HIST2H2AC,AC124016.1,HIST2H2AC,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,43,2,1,0.1470120549201965,SLC38A1 | TUBA4A,SLC38A1,TUBA4A,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,44,2,1,0.1410911828279495,PDGFRL | PDGFRA,PDGFRL,PDGFRA,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,45,2,1,0.1351213455200195,C22ORF46 | GLMN,C22ORF46,GLMN,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,46,2,1,0.1349300444126129,MXRA8 | FRZB,MXRA8,FRZB,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,47,2,1,0.1292419731616974,DUSP6 | KLF7,DUSP6,KLF7,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,48,2,1,0.1286734789609909,TBC1D4 | FRMD4B,TBC1D4,FRMD4B,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,49,2,1,0.1275163739919662,C19ORF66 | RNF213,C19ORF66,RNF213,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,50,2,1,0.1258354634046554,OSTM1 | MTHFR,OSTM1,MTHFR,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,51,2,1,0.1251016855239868,APOC1 | APOE,APOC1,APOE,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,52,2,1,0.1225765123963356,MGA | PDS5B,MGA,PDS5B,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,53,2,1,0.1187130138278007,ATG2A | STK17B,ATG2A,STK17B,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,54,2,1,0.1176835224032402,RAP2B | ZNF654,RAP2B,ZNF654,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,55,2,1,0.117528811097145,TRIM41 | QSOX2,TRIM41,QSOX2,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,56,2,1,0.1159631460905075,FAM13B | MRNIP,FAM13B,MRNIP,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,57,2,1,0.1152352392673492,RORA | CRIP1,RORA,CRIP1,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,58,2,1,0.1145927831530571,THUMPD1 | HCG18,THUMPD1,HCG18,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,59,2,1,0.1140244305133819,GTF3C1 | SLC25A44,GTF3C1,SLC25A44,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,60,2,1,0.1114205569028854,S100A10 | S100A6,S100A10,S100A6,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,61,2,1,0.1111273989081382,CEP135 | CERK,CEP135,CERK,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,62,2,1,0.1071045398712158,CRYAB | MYC,CRYAB,MYC,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,63,2,1,0.1006662920117378,CABIN1 | LEMD3,CABIN1,LEMD3,
Normal_BRCA1_pre_neoplastic__plus__Triple_negative_BRCA1_tumor,Normal_BRCA1_-_pre-neoplastic | Triple_negative_BRCA1_tumor,20,64,2,1,0.1006442904472351,CTDSPL2 | ZNF689,CTDSPL2,ZNF689,
Normal__plus__ER_tumor,Normal | ER_tumor,20,1,6,9,0.18053491910298664,MT-CO3 | MT-ND4 | MT-ATP6,MT-CO3,MT-ND4,MT-ATP6
Normal__plus__ER_tumor,Normal | ER_tumor,20,2,6,6,0.18296116342147192,KRT8 | KRT19 | KRT18,KRT8,KRT19,KRT18
Normal__plus__ER_tumor,Normal | ER_tumor,20,3,6,9,0.15847050398588178,FXYD3 | ELF3 | TACSTD2,FXYD3,ELF3,TACSTD2
Normal__plus__ER_tumor,Normal | ER_tumor,20,4,3,3,0.2233355094989141,TAGLN | MYL9 | CALD1,TAGLN,MYL9,CALD1
Normal__plus__ER_tumor,Normal | ER_tumor,20,5,3,3,0.21513721346855164,HSPA1A | DNAJB1 | HSPA1B,HSPA1A,DNAJB1,HSPA1B
Normal__plus__ER_tumor,Normal | ER_tumor,20,6,3,2,0.1579480990767479,ERBIN | REV1 | EP300,ERBIN,REV1,EP300
Normal__plus__ER_tumor,Normal | ER_tumor,20,7,3,2,0.1530346386134624,HLA-DRA | CD74 | HLA-DPB1,HLA-DRA,CD74,HLA-DPB1
Normal__plus__ER_tumor,Normal | ER_tumor,20,8,2,1,0.1952410340309143,JUNB | ZFP36,JUNB,ZFP36,
Normal__plus__ER_tumor,Normal | ER_tumor,20,9,2,1,0.1422227174043655,FOS | JUN,FOS,JUN,
Normal__plus__ER_tumor,Normal | ER_tumor,20,10,2,1,0.1413321942090988,ARMCX3 | ANKRD10,ARMCX3,ANKRD10,
Normal__plus__ER_tumor,Normal | ER_tumor,20,11,2,1,0.1274978816509246,RAB21 | ATP13A3,RAB21,ATP13A3,
Normal__plus__ER_tumor,Normal | ER_tumor,20,12,2,1,0.104543998837471,IAH1 | ADAM17,IAH1,ADAM17,
Normal__plus__ER_tumor,Normal | ER_tumor,20,13,2,1,0.1023318469524383,BMPR2 | HIP1,BMPR2,HIP1,
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,1,18,35,0.17576035410165786,DCN | LUM | BGN,DCN,LUM,BGN
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,2,17,26,0.148071735810775,COL4A1 | SPARC | COL4A2,COL4A1,SPARC,COL4A2
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,3,16,23,0.13526840054470557,SLC2A3 | FMNL3 | WIPF1,SLC2A3,FMNL3,WIPF1
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,4,15,54,0.18889208441531216,KRT8 | CD24 | ELF3,KRT8,CD24,ELF3
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,5,8,24,0.19639919232577085,HLA-DRA | HLA-DRB1 | CD74,HLA-DRA,HLA-DRB1,CD74
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,6,8,9,0.13225822067923015,ARHGAP29 | TINAGL1 | BCAM,ARHGAP29,TINAGL1,BCAM
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,7,7,8,0.1639158111065626,PODXL | TM4SF18 | DOCK9,PODXL,TM4SF18,DOCK9
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,8,6,8,0.1963283810764551,TAGLN | ACTA2 | TPM2,TAGLN,ACTA2,TPM2
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,9,6,6,0.16818490996956825,POLK | EP300 | ZBED5,POLK,EP300,ZBED5
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,10,5,7,0.2697455308267048,MT-CO3 | MT-ATP6 | MT-CO1,MT-CO3,MT-ATP6,MT-CO1
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,11,5,4,0.1297925543040037,TPM1 | PALLD | CSRP1,TPM1,PALLD,CSRP1
Normal__plus__HER2_tumor,Normal | HER2_tumor,20,12,5,4,0.10829517804086206,BMPR2 | SNTB2 | MTUS1,BMPR2,SNTB2,MTUS1
