condition,source_conditions,gene,weighted_degree,degree
Normal__plus__ER_tumor,Normal | ER_tumor,GATA3,0.1395836025476455,1
Normal__plus__ER_tumor,Normal | ER_tumor,CLDN3,0.1303703188896179,1
Normal__plus__ER_tumor,Normal | ER_tumor,ATP13A3,0.1274978816509246,1
Normal__plus__ER_tumor,Normal | ER_tumor,RAB21,0.1274978816509246,1
Normal__plus__ER_tumor,Normal | ER_tumor,CD24,0.1253078132867813,1
Normal__plus__ER_tumor,Normal | ER_tumor,HLA-DPB1,0.1118605360388755,1
Normal__plus__ER_tumor,Normal | ER_tumor,EP300,0.1076887845993042,1
Normal__plus__ER_tumor,Normal | ER_tumor,ADAM17,0.104543998837471,1
Normal__plus__ER_tumor,Normal | ER_tumor,IAH1,0.104543998837471,1
Normal__plus__ER_tumor,Normal | ER_tumor,BMPR2,0.1023318469524383,1
Normal__plus__ER_tumor,Normal | ER_tumor,HIP1,0.1023318469524383,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,KRT8,2.8140137791633606,12
Normal__plus__HER2_tumor,Normal | HER2_tumor,CD24,2.211284041404724,10
Normal__plus__HER2_tumor,Normal | HER2_tumor,ELF3,1.9758683443069456,10
Normal__plus__HER2_tumor,Normal | HER2_tumor,FXYD3,1.9144594967365265,11
Normal__plus__HER2_tumor,Normal | HER2_tumor,DCN,1.885755605995655,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,KRT18,1.8417158648371696,9
Normal__plus__HER2_tumor,Normal | HER2_tumor,CLDN4,1.7104478478431702,9
Normal__plus__HER2_tumor,Normal | HER2_tumor,TACSTD2,1.686335414648056,10
Normal__plus__HER2_tumor,Normal | HER2_tumor,HLA-DRA,1.6003834754228592,7
Normal__plus__HER2_tumor,Normal | HER2_tumor,LUM,1.5515895709395409,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,S100A14,1.55111525952816,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,HLA-DRB1,1.494353711605072,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,CD74,1.37076798081398,7
Normal__plus__HER2_tumor,Normal | HER2_tumor,COL4A1,1.3618495762348175,7
Normal__plus__HER2_tumor,Normal | HER2_tumor,KRT19,1.3380165249109268,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,HLA-DPA1,1.3352364599704742,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,CLDN3,1.3308087065815926,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,HLA-DQA1,1.2055507749319077,7
Normal__plus__HER2_tumor,Normal | HER2_tumor,MT-CO3,1.1701875776052475,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,SPARC,1.159894198179245,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,SLC2A3,1.1542608067393303,8
Normal__plus__HER2_tumor,Normal | HER2_tumor,HLA-DQB1,1.0360054820775986,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,BGN,1.0027537867426872,9
Normal__plus__HER2_tumor,Normal | HER2_tumor,TAGLN,0.9830802232027054,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,COL6A3,0.9759698882699012,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,C1S,0.9169467836618423,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,MT-ATP6,0.8968186303973198,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,TIMP2,0.8965511173009872,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,FMNL3,0.8905324786901474,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,COL4A2,0.8882462233304977,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,HLA-DPB1,0.8742199167609215,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,KRT7,0.8630408570170403,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,MMP2,0.8540820926427841,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,WIPF1,0.7838275879621506,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,LHFPL6,0.7194064855575562,6
Normal__plus__HER2_tumor,Normal | HER2_tumor,RARRES2,0.7109906375408173,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,SERPINF1,0.7027660310268402,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,ACTA2,0.7020861655473709,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,POLK,0.6937855556607246,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,CRISPLD2,0.6904197707772255,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,TPM2,0.6841248720884323,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,PODXL,0.6510796993970871,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,TIMP3,0.618394024670124,5
Normal__plus__HER2_tumor,Normal | HER2_tumor,FN1,0.6167966723442078,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,MT-CO1,0.61163280159235,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,MT-ND3,0.6082948595285416,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,VCAN,0.5742743611335754,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,ZEB1,0.5742667987942696,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,HSPA1B,0.5617031455039978,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,TM4SF18,0.5444230288267136,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,CCDC80,0.5399588048458099,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,SH3KBP1,0.5321879461407661,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,ARHGAP29,0.5301737114787102,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,HLA-DMA,0.5106434300541878,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,EP300,0.5034412145614624,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,TGFB1,0.4995513558387756,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,MT-ND1,0.4895035624504089,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,COL18A1,0.4853093847632408,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,MYL9,0.4832470715045929,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,DOCK9,0.4831766486167907,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,IGFBP7,0.4647698253393173,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,C1R,0.4561666995286941,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,LY96,0.4496042728424072,4
Normal__plus__HER2_tumor,Normal | HER2_tumor,ITGB6,0.4474645778536796,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,SPARCL1,0.4365982860326767,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,HSPA1A,0.4229754209518432,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,TINAGL1,0.419888824224472,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,TPM1,0.4143269509077072,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,GNG11,0.4087206870317459,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,S100A9,0.4059634804725647,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,S100A8,0.4059634804725647,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CXCL12,0.378363274037838,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,ANKRD30A,0.3393948078155517,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,ZBED5,0.3312889039516449,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,BMPR2,0.3297591954469681,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,INO80D,0.3226484954357147,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,PJA2,0.3218390718102455,3
Normal__plus__HER2_tumor,Normal | HER2_tumor,RAPGEF5,0.3168631047010422,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,BCAM,0.2958075553178787,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,GEM,0.2871047854423523,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,TCF4,0.2832022458314895,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,CRIM1,0.2776536792516708,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,SERPING1,0.2758869081735611,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,STC1,0.2681621015071869,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,CYTOR,0.2624951601028442,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,MIR4435-2HG,0.2624951601028442,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,EFNA1,0.2607464790344238,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,GMFG,0.2580659836530685,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,ZDHHC17,0.2552237212657928,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,PECAM1,0.2547441571950912,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,PALLD,0.2514031901955604,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,MAST4,0.2510476410388946,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,RAI14,0.2508926093578338,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,SOD3,0.2389786466956138,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,KIAA1109,0.2354378700256347,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,MYSM1,0.2313246130943298,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,GIGYF1,0.2313246130943298,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,EDN1,0.2306705638766288,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,A2M,0.226371057331562,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,ENG,0.2247722446918487,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,SNTB2,0.2218386754393577,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,GATA3,0.220933511853218,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,SMAD1,0.2154295220971107,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,NRP1,0.2126716002821922,2
Normal__plus__HER2_tumor,Normal | HER2_tumor,PEAK1,0.212548553943634,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,TNS1,0.212548553943634,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SPTBN1,0.2028760761022567,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SH2B3,0.1955515891313552,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,KIDINS220,0.1946272403001785,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,TMEM173,0.1619700491428375,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CALD1,0.1598141491413116,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,MTRNR2L12,0.159408152103424,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,MTRNR2L8,0.159408152103424,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,DOCK6,0.1560723185539245,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,MUC1,0.1554460823535919,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,PPFIBP1,0.1500072628259658,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,RASGRP3,0.1492970734834671,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,PHLDB1,0.1481534391641616,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CSRP1,0.141464814543724,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,FKBP10,0.1398952603340149,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,DNAJB1,0.1387277245521545,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,DPP8,0.1333533078432083,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CXCL2,0.1304864734411239,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CXCL3,0.1304864734411239,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,AXL,0.1303478181362152,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,S100PBP,0.1303423196077346,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,TAOK2,0.1296515017747879,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,TBCD,0.1296515017747879,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CRYAB,0.1289016157388687,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,RLF,0.1280212551355362,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,APOC1,0.1278499960899353,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,APOE,0.1278499960899353,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CCNL1,0.1269256472587585,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,IFRD1,0.1269256472587585,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,FHL2,0.1263022124767303,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,ZFYVE16,0.1245855391025543,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,MAN2A1,0.1245855391025543,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,COL6A2,0.1229949295520782,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,COL6A1,0.1229949295520782,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,RFTN1,0.122057981789112,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,RIPOR1,0.1178324818611145,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,ZNF292,0.1159382089972496,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,ZMYM2,0.1159382089972496,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,PLEKHO1,0.1147105917334556,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,NEDD9,0.1146595180034637,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,ITGA5,0.1114251092076301,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,HSD17B11,0.1112679094076156,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,LIX1L,0.1108080893754959,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,HYAL2,0.1103147268295288,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,ID3,0.1100843995809555,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CREBRF,0.1093799099326133,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SKIL,0.1093799099326133,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,FTX,0.1091039106249809,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,MTUS1,0.1090871319174766,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CNKSR3,0.1078002750873565,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SLC9A3R2,0.1078002750873565,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,GBP4,0.1074982658028602,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,TRIM22,0.1074982658028602,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,PHACTR2,0.1073318049311637,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SH3BP5,0.1073318049311637,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CD93,0.1069397628307342,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,PIK3CA,0.1067696064710617,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CTDSPL2,0.1067657321691513,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SETX,0.1067657321691513,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,LENG8,0.1059655547142028,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,CARD8,0.1054470837116241,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,RALGAPA2,0.1051147952675819,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,VPS13C,0.1050955504179,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,ACTN1,0.1048432663083076,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,PCNA,0.1047849059104919,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SMC2,0.1047849059104919,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,DPYSL3,0.1043737381696701,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,NOTCH1,0.1034215167164802,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SPRY1,0.1029301658272743,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SIPA1L2,0.1022549048066139,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,SOS1,0.1011262163519859,1
Normal__plus__HER2_tumor,Normal | HER2_tumor,WWTR1,0.1008853465318679,1
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT7,7.683277428150177,32
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,MYCT1,7.320986866950989,35
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PTPRB,7.224583834409714,35
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ECSCR,7.045239306986332,30
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,S100A14,7.024728208780289,29
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CLDN7,6.822206534445286,29
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,IRF6,6.749440126121044,29
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,VWF,6.406510315835476,31
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,SFN,6.375139385461807,29
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,F2RL3,6.291558645665646,28
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,TACSTD2,6.103382281959057,26
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CALCRL,5.942486874759197,33
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,RHOJ,5.798803269863129,30
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PECAM1,5.76975504308939,29
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,TCF4,5.67851810157299,33
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT8,5.483824640512466,28
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PDGFRB,5.152347177267075,29
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ITGB6,5.149447709321976,29
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CLDN5,5.0646474957466125,26
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,LAMB3,5.011201597750187,27
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT6B,4.922859214246273,21
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT16,4.891177900135517,27
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,S1PR1,4.843938626348972,27
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT23,4.725304424762726,22
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PRSS22,4.716159112751484,24
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PPARG,4.681355573236942,27
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PCAT19,4.586291007697582,26
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CCRL2,4.539400197565556,30
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KDR,4.385493986308575,22
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ELF3,4.344877064228058,22
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,LRRC32,4.33781498670578,26
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT17,4.316251486539841,17
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ANGPT2,4.2131365314126015,24
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CNRIP1,4.180554211139679,22
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,C2CD4B,4.137885443866253,26
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CD36,4.053438805043697,23
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CLDN4,4.045576512813568,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ESAM,4.034590378403664,24
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,TPM1,3.830683201551437,22
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,MMP19,3.765040576457977,24
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ENPEP,3.711193390190601,20
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT19,3.667989313602448,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,MAL2,3.4894288033246994,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ADGRL4,3.480319991707802,23
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PLEKHG1,3.3195639327168465,20
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,DPT,3.3133051320910454,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,STC2,3.209558740258217,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ITGA3,3.182466708123684,20
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CTSL,3.1347606480121613,21
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,S100A2,3.094496861100197,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,TSHZ1,3.0899991914629936,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,APOD,3.065605007112026,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PLIN2,3.01674997061491,21
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ANXA3,2.970256023108959,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,PLXNA2,2.908787079155445,20
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,SASH1,2.900102563202381,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,BAG3,2.89882243424654,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,BGN,2.884922713041305,20
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,EBF1,2.8689580783247948,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,WFDC2,2.837231867015362,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ENG,2.8004356399178505,20
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,CCNL1,2.788602441549301,17
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,NID1,2.7855203449726105,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,KRT5,2.7801678255200386,11
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,RPGR,2.7593027874827385,19
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,SAA1,2.713460899889469,16
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,SDC4,2.69954252243042,17
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,LHFPL6,2.6938773915171623,17
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,SRPX,2.693190738558769,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,DCN,2.668651945888996,13
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,MEDAG,2.6654758229851723,17
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,ADAMTS4,2.596345938742161,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,LUM,2.591653183102608,13
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,IGFBP7,2.556428238749504,17
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,HELZ,2.5314370170235634,14
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,AGTR1,2.5257257893681526,15
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,IRX2,2.487650014460087,16
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,COL6A3,2.4873272329568863,16
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,TM4SF18,2.4493782743811607,16
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,MMP2,2.4298874139785767,18
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,EDNRB,2.416830874979496,15
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,DENND4A,2.4134822860360146,14
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,HEXIM1,2.3426599130034447,16
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,MCTP1,2.341632083058357,15
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,DNAJB1,2.319624349474907,13
Normal__plus__Normal_BRCA1_pre_neoplastic,Normal | Normal_BRCA1_-_pre-neoplastic,SFRP1,2.3170429691672325,14
