condition,source_conditions,community,n_nodes
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,1,25
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,2,22
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,3,10
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,4,9
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,5,9
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,6,7
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,7,6
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,8,6
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,9,6
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,10,6
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,11,5
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,12,5
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,13,4
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,14,4
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,15,3
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,16,3
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,17,3
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,18,3
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,19,3
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,20,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,21,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,22,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,23,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,24,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,25,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,26,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,27,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,28,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,29,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,30,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,31,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,32,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,33,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,34,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,35,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,36,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,37,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,38,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,39,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,40,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,41,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,42,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,43,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,44,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,45,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,46,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,47,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,48,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,49,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,50,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,51,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,52,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,53,2
Normal__plus__Triple_negative_BRCA1_tumor,Normal | Triple_negative_BRCA1_tumor,54,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,1,51
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,2,48
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,3,48
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,4,22
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,5,22
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,6,17
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,7,15
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,8,10
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,9,10
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,10,9
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,11,8
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,12,7
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,13,7
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,14,5
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,15,5
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,16,4
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,17,4
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,18,4
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,19,4
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,20,4
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,21,3
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,22,3
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,23,3
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,24,3
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,25,3
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,26,3
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,27,3
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,28,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,29,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,30,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,31,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,32,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,33,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,34,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,35,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,36,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,37,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,38,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,39,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,40,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,41,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,42,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,43,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,44,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,45,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,46,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,47,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,48,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,49,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,50,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,51,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,52,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,53,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,54,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,55,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,56,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,57,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,58,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,59,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,60,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,61,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,62,2
Normal__plus__Triple_negative_tumor,Normal | Triple_negative_tumor,63,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,1,85
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,2,57
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,3,56
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,4,50
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,5,48
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,6,48
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,7,43
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,8,38
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,9,26
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,10,18
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,11,16
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,12,12
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,13,12
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,14,10
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,15,8
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,16,8
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,17,7
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,18,6
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,19,5
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,20,5
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,21,5
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,22,4
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,23,4
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,24,4
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,25,4
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,26,4
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,27,4
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,28,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,29,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,30,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,31,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,32,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,33,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,34,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,35,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,36,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,37,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,38,3
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,39,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,40,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,41,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,42,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,43,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,44,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,45,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,46,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,47,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,48,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,49,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,50,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,51,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,52,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,53,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,54,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,55,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,56,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,57,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,58,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,59,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,60,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,61,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,62,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,63,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,64,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,65,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,66,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,67,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,68,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,69,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,70,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,71,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,72,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,73,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,74,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,75,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,76,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,77,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,78,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,79,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,80,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,81,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,82,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,83,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,84,2
Triple_negative_tumor__plus__Triple_negative_BRCA1_tumor,Triple_negative_tumor | Triple_negative_BRCA1_tumor,85,2
